"Local Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.09.2018 18:00";"15.7";"766.1";"769.1";"0.5";"79";"Wind blowing from the north-northeast";"6";"";"13";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.1";"";"";"";"";"";"";
"25.09.2018 15:00";"15.4";"765.6";"768.5";"0.5";"70";"Wind blowing from the north";"8";"";"15";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.9";"0.2";"6";"";"";"";"";
"25.09.2018 12:00";"15.0";"765.1";"768.0";"1.5";"89";"Wind blowing from the north";"8";"";"15";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"13.2";"";"";"";"";"";"";
"25.09.2018 09:00";"17.2";"763.6";"766.5";"1.8";"77";"Wind blowing from the north";"10";"";"";"90  or more, but not 100%";" ";"";"";"16.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 � 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"No precipitation";"12";"Surface of ground moist.";"16.0";"";"";
"25.09.2018 06:00";"16.7";"761.8";"764.7";"1.7";"84";"Wind blowing from the north";"12";"17";"17";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"";"";"";"";"";"";
"25.09.2018 03:00";"20.2";"760.1";"763.0";"2.1";"69";"Wind blowing from the north";"12";"19";"21";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.3";"No precipitation";"6";"";"";"";"";
"25.09.2018 00:00";"22.3";"758.0";"760.9";"1.6";"76";"Wind blowing from the west-northwest";"4";"";"7";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"24.09.2018 21:00";"22.2";"756.4";"759.3";"0.7";"83";"Wind blowing from the south";"2";"";"7";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"10.0";"19.2";"No precipitation";"12";"";"";"";"";
"24.09.2018 18:00";"24.5";"755.7";"758.5";"-1.0";"67";"Wind blowing from the south-west";"2";"";"7";"no clouds";" ";"";"";"";"";"";"";"";"";"";"9.0";"17.9";"";"";"";"";"";"";
"24.09.2018 15:00";"24.5";"756.7";"759.6";"-1.3";"65";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"No precipitation";"6";"";"";"";"";
"24.09.2018 12:00";"23.5";"758.0";"760.9";"-0.5";"75";"Wind blowing from the south-southwest";"2";"";"5";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"24.09.2018 09:00";"22.6";"758.5";"761.4";"-0.6";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"15.1";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"24.09.2018 06:00";"18.1";"759.1";"762.0";"-1.2";"81";"Wind blowing from the north-northwest";"3";"";"4";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"8.0";"14.7";"";"";"";"";"";"";
"24.09.2018 03:00";"21.0";"760.3";"763.2";"-1.2";"73";"Wind blowing from the north-northeast";"2";"";"8";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.0";"No precipitation";"6";"";"";"";"";
"24.09.2018 00:00";"21.8";"761.5";"764.4";"-0.2";"81";"Wind blowing from the north-east";"3";"";"8";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"8.0";"18.3";"";"";"";"";"";"";
"23.09.2018 21:00";"23.7";"761.7";"764.5";"0.5";"70";"Wind blowing from the north-east";"3";"";"9";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"17.8";"No precipitation";"12";"";"";"";"";
"23.09.2018 18:00";"27.7";"761.2";"764.1";"-0.5";"45";"Wind blowing from the north-northeast";"4";"";"7";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"23.09.2018 15:00";"24.9";"761.7";"764.5";"-0.6";"69";"Wind blowing from the south-west";"3";"";"8";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.7";"No precipitation";"6";"";"";"";"";
"23.09.2018 12:00";"23.3";"762.3";"765.1";"0.9";"77";"Wind blowing from the south";"4";"";"8";"20�30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20�30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"19.0";"";"";"";"";"";"";
"23.09.2018 09:00";"21.8";"761.4";"764.2";"0.9";"80";"Wind blowing from the south-southeast";"3";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"18.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"23.09.2018 06:00";"20.6";"760.5";"763.3";"-0.1";"85";"Wind blowing from the east";"2";"";"5";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"23.09.2018 03:00";"21.6";"760.6";"763.5";"0.1";"83";"Wind blowing from the north";"3";"";"8";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"7.0";"18.5";"No precipitation";"6";"";"";"";"";
"23.09.2018 00:00";"22.3";"760.5";"763.3";"0.5";"78";"Wind blowing from the north-east";"3";"";"8";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"6.0";"18.2";"";"";"";"";"";"";
"22.09.2018 21:00";"23.7";"760.0";"762.9";"0.8";"69";"Wind blowing from the north-northeast";"4";"";"9";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"17.7";"No precipitation";"12";"";"";"";"";
"22.09.2018 18:00";"26.8";"759.2";"762.1";"-0.7";"54";"Wind blowing from the north-east";"5";"";"9";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"22.09.2018 15:00";"25.4";"759.9";"762.7";"-0.4";"67";"Wind blowing from the west-southwest";"3";"";"8";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.8";"No precipitation";"6";"";"";"";"";
"22.09.2018 12:00";"24.4";"760.3";"763.1";"0.2";"70";"Wind blowing from the south-east";"4";"";"8";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"22.09.2018 09:00";"24.0";"760.1";"763.0";"0.5";"70";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"10.0";"18.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"22.09.2018 06:00";"20.8";"759.6";"762.4";"-0.1";"81";"Wind blowing from the north-northeast";"3";"";"7";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"22.09.2018 03:00";"21.9";"759.7";"762.6";"-0.6";"77";"Wind blowing from the east-northeast";"3";"";"10";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.7";"No precipitation";"6";"";"";"";"";
"22.09.2018 00:00";"22.0";"760.3";"763.2";"0.1";"75";"Wind blowing from the north-east";"4";"";"10";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"21.09.2018 21:00";"23.5";"760.2";"763.0";"0.4";"67";"Wind blowing from the east-northeast";"5";"";"12";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"16.9";"No precipitation";"12";"";"";"";"";
"21.09.2018 18:00";"25.4";"759.8";"762.7";"0.0";"61";"Wind blowing from the north-northeast";"6";"";"12";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.3";"";"";"";"";"";"";
"21.09.2018 15:00";"26.0";"759.8";"762.7";"-0.6";"56";"Wind blowing from the north-east";"6";"";"12";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.4";"No precipitation";"6";"";"";"";"";
"21.09.2018 12:00";"25.9";"760.4";"763.3";"0.1";"49";"Wind blowing from the north-east";"7";"";"10";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"21.09.2018 09:00";"23.6";"760.3";"763.2";"0.2";"65";"Wind blowing from the north-northeast";"4";"";"";"60%.";" ";"";"";"20.7";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"21.09.2018 06:00";"21.7";"760.1";"763.0";"0.1";"74";"Wind blowing from the north";"4";"";"7";"70 � 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 � 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.8";"";"";"";"";"";"";
"21.09.2018 03:00";"21.2";"760.0";"762.8";"-0.4";"74";"Wind blowing from the north-northeast";"5";"";"10";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.4";"No precipitation";"6";"";"";"";"";
"21.09.2018 00:00";"21.5";"760.4";"763.3";"-0.3";"74";"Wind blowing from the north-northeast";"4";"";"10";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.6";"";"";"";"";"";"";
"20.09.2018 21:00";"22.8";"760.7";"763.6";"0.6";"71";"Wind blowing from the north-east";"6";"";"13";"40%.";" ";"";"";"";"27.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.2";"No precipitation";"12";"";"";"";"";
"20.09.2018 18:00";"24.0";"760.1";"763.0";"-0.2";"61";"Wind blowing from the north-northeast";"8";"";"13";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"";"";"";"";"";"";
"20.09.2018 15:00";"26.2";"760.3";"763.2";"-0.9";"48";"Wind blowing from the north-east";"7";"";"13";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"No precipitation";"6";"";"";"";"";
"20.09.2018 12:00";"24.1";"761.2";"764.0";"-0.4";"57";"Wind blowing from the north-east";"7";"";"11";"70 � 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"70 � 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.0";"";"";"";"";"";"";
"20.09.2018 09:00";"23.2";"761.6";"764.5";"0.1";"61";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"20.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"20.09.2018 06:00";"20.9";"761.5";"764.5";"-0.3";"64";"Wind blowing from the north-northeast";"4";"";"6";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.8";"";"";"";"";"";"";
"20.09.2018 03:00";"20.5";"761.8";"764.7";"-0.5";"65";"Wind blowing from the north-east";"3";"";"9";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.7";"No precipitation";"6";"";"";"";"";
"20.09.2018 00:00";"20.8";"762.3";"765.1";"-0.4";"64";"Wind blowing from the north-east";"6";"";"9";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"19.09.2018 21:00";"22.0";"762.7";"765.7";"0.6";"61";"Wind blowing from the east";"4";"";"14";"40%.";" ";"";"";"";"27.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.0";"No precipitation";"12";"";"";"";"";
"19.09.2018 18:00";"23.1";"762.1";"765.0";"-0.2";"59";"Wind blowing from the north-northeast";"9";"";"14";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"";"";"";"";"";"";
"19.09.2018 15:00";"25.2";"762.3";"765.1";"-0.8";"50";"Wind blowing from the north-east";"7";"";"13";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"No precipitation";"6";"";"";"";"";
"19.09.2018 12:00";"24.2";"763.1";"766.0";"0.1";"58";"Wind blowing from the east-northeast";"8";"";"13";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.5";"";"";"";"";"";"";
"19.09.2018 09:00";"23.1";"763.0";"765.8";"0.4";"61";"Wind blowing from the east-northeast";"5";"";"";"70 � 80%.";" ";"";"";"20.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.1";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"19.09.2018 06:00";"20.5";"762.6";"765.5";"-0.4";"68";"Wind blowing from the north-northeast";"4";"";"7";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"19.09.2018 03:00";"20.7";"763.0";"766.0";"-0.4";"63";"Wind blowing from the north-east";"5";"";"11";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.4";"No precipitation";"6";"";"";"";"";
"19.09.2018 00:00";"21.3";"763.4";"766.3";"0.1";"67";"Wind blowing from the north-east";"5";"";"9";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.8";"";"";"";"";"";"";
"18.09.2018 21:00";"22.4";"763.3";"766.2";"0.4";"63";"Wind blowing from the east-northeast";"5";"";"12";"40%.";" ";"";"";"";"26.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.0";"No precipitation";"12";"";"";"";"";
"18.09.2018 18:00";"23.8";"762.9";"765.8";"-0.4";"55";"Wind blowing from the north-northeast";"7";"";"12";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.3";"";"";"";"";"";"";
"18.09.2018 15:00";"24.5";"763.3";"766.2";"-0.3";"53";"Wind blowing from the north-northeast";"8";"";"12";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"No precipitation";"6";"";"";"";"";
"18.09.2018 12:00";"23.4";"763.6";"766.6";"0.2";"56";"Wind blowing from the north-northeast";"8";"";"11";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"";"";"";"";"";"";
"18.09.2018 09:00";"22.5";"763.4";"766.3";"0.4";"54";"Wind blowing from the north-northeast";"6";"";"";"20�30%.";" ";"";"";"20.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"18.09.2018 06:00";"20.3";"763.0";"766.0";"-0.4";"64";"Wind blowing from the east-northeast";"3";"";"7";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"18.09.2018 03:00";"20.8";"763.4";"766.3";"-0.4";"63";"Wind blowing from the north-east";"4";"";"11";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"No precipitation";"6";"";"";"";"";
"18.09.2018 00:00";"21.6";"763.8";"766.6";"0.0";"64";"Wind blowing from the north-east";"5";"";"11";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"17.09.2018 21:00";"23.2";"763.8";"766.6";"0.4";"63";"Wind blowing from the north-east";"5";"";"12";"20�30%.";" ";"";"";"";"28.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.7";"No precipitation";"12";"";"";"";"";
"17.09.2018 18:00";"23.9";"763.4";"766.3";"-0.5";"52";"Wind blowing from the north-east";"8";"";"12";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.3";"";"";"";"";"";"";
"17.09.2018 15:00";"27.2";"763.9";"766.7";"-0.3";"40";"Wind blowing from the north-northeast";"7";"";"12";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.3";"No precipitation";"6";"";"";"";"";
"17.09.2018 12:00";"26.0";"764.2";"767.0";"0.0";"52";"Wind blowing from the north-northeast";"8";"";"12";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.3";"";"";"";"";"";"";
"17.09.2018 09:00";"23.7";"764.2";"767.0";"0.8";"66";"Wind blowing from the east-northeast";"5";"";"";"20�30%.";" ";"";"";"21.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"17.09.2018 06:00";"21.6";"763.4";"766.3";"0.1";"76";"Wind blowing from the north-northeast";"4";"";"7";"20�30%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.2";"";"";"";"";"";"";
"17.09.2018 03:00";"22.1";"763.3";"766.1";"-0.1";"83";"Wind blowing from the north-east";"3";"";"10";"20�30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"19.0";"No precipitation";"6";"";"";"";"";
"17.09.2018 00:00";"22.9";"763.4";"766.3";"0.5";"77";"Wind blowing from the north-northeast";"4";"";"10";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"16.09.2018 21:00";"25.6";"762.9";"765.7";"0.8";"72";"Wind blowing from the north-northeast";"4";"";"13";"50%.";" ";"";"";"";"29.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.1";"No precipitation";"12";"";"";"";"";
"16.09.2018 18:00";"25.7";"762.1";"765.0";"0.3";"58";"Wind blowing from the north-northeast";"6";"";"13";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.9";"";"";"";"";"";"";
"16.09.2018 15:00";"28.6";"761.8";"764.7";"-0.3";"49";"Wind blowing from the north-northeast";"4";"10";"10";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"No precipitation";"6";"";"";"";"";
